369	SSP2	0.165	-0.114	-0.126	-0.23	-0.26	-0.265	-0.392
370	ESA1	0.085	0.2	0.052	0.04	-0.029	0.322	0.053
371	ENV9	0.546	0.305	0.067	0.129	0.02	-0.083	0.145
372	YOR248W	0.255	-0.108	-0.043	0.286	0.585	0.965	0.749
373	MRS2	0.29	0.152	0.049	0.415	0.363	0.322	0.493
374	KRE5	0.363	-0.057	0.431	-0.686	-0.434	-0.459	-0.044
375	YOR338W	0.322	0.222	0.28	-0.807	-1.459	0	-0.807
376	RPA43	0.585	0.138	0.337	0	-1.17	-0.222	1.379
377	YOR342C	0.112	-0.141	0.269	-0.158	-0.585	-0.144	-0.103
378	TYE7	-0.388	0.234	0.245	0.212	0.569	0.585	-0.106
379	PMA2	0.227	-0.126	0.031	-0.402	-0.201	-0.133	0.067
380	MET31	0.722	0.722	0.529	-0.105	-0.474	-0.391	0
381	ISM1	-0.447	0.152	-1.152	-0.524	-0.737	-0.17	0
382	SSN3	-0.222	-0.372	0.222	-0.294	0.133	0.082	-0.3
383	YPL044C	0.669	0.685	0.404	-0.807	-1.474	-1.829	-0.299
384	ELC1	0.334	0.392	0.057	-0.637	-0.359	0.115	-0.126
385	COX11	0.358	0.222	0.232	-0.481	-0.332	-0.547	-0.293
386	ODC1	-0.24	-0.197	-0.253	-0.309	0.168	0.859	0.076
387	YPL136W	-0.453	-0.106	-0.028	-0.461	-0.388	0.6	-0.69
388	SPP1	0.126	0.11	-0.014	-0.585	-0.034	0.15	-0.544
389	MKK2	0.133	-0.156	-0.133	-0.263	-0.138	0.236	-0.099
390	YPL142C	1.164	0.83	0.704	0.367	-0.772	-1.802	0.017
391	CET1	0.228	0.04	0.293	-0.073	0.045	-0.199	-0.681
392	USV1	-0.67	-0.752	-0.585	-0.769	0.082	1.755	-0.082
393	SSO1	0.127	-0.193	-0.028	-0.039	0.344	0.534	-0.293
394	VMA11	0.382	0.219	-0.014	-0.044	0.239	0.29	0.037
395	ENV7	-0.16	0.05	0.022	-0.345	0.109	0.178	-0.033
396	YPL238C	0.71	0.506	0.378	0.19	-0.305	-0.87	-0.055
397	TIF5	0.978	0.544	0.576	-0.085	-0.419	-0.68	-0.007
398	RPL43A	1.135	1.173	0.99	0.222	-0.828	-1.885	0.217
399	THP3	-0.034	-0.228	0.125	0.103	-0.04	0.174	-0.599
